context,email_text,outcome
Customer: marketing director at a Travel firm asked about pricing for a analytics dashboard.,"Hello [Name], Our analytics dashboard has helped several travel companies optimize their workflow. We are reaching out to introduce our services. Please respond for more info. Happy to share a case study if interested.",0
Customer: CFO at a E-commerce firm existing customer for a email automation tool.,"Hello [Name], Our email automation tool has helped several e-commerce companies optimize their workflow. We are reaching out to introduce our services. Please respond for more info. Can I send over a short demo video?",0
Customer: operations manager at a Finance firm existing customer for a payment gateway.,"Hello [Name], With our payment gateway, teams in finance are saving hours every week. I’m following up regarding your query on payment gateway. We’d be happy to provide more details. Can I send over a short demo video?",1
Customer: sales head at a Travel firm asked about pricing for a analytics dashboard.,"Greetings, With our analytics dashboard, teams in travel are saving hours every week. Glad you found the demo useful! Let's schedule onboarding for your team next week. Happy to share a case study if interested.",2
Customer: marketing director at a E-commerce firm asked about pricing for a inventory sync system.,"Greetings, Our inventory sync system has helped several e-commerce companies optimize their workflow. We offer best-in-class pricing for your needs. Let's connect soon. Can I send over a short demo video?",0
Customer: procurement head at a Manufacturing firm asked about pricing for a supply chain tool.,"Hi there, I noticed your company operates in manufacturing — our supply chain tool could be a great fit. We offer best-in-class pricing for your needs. Let's connect soon. Would you be open to a quick call this week?",0
Customer: admin manager at a Real Estate firm asked about pricing for a lead management software.,"Good morning, With our lead management software, teams in real estate are saving hours every week. Don’t miss this opportunity to upgrade your business solutions. Can I send over a short demo video?",0
Customer: operations manager at a E-commerce firm attended a webinar for a conversion tracking app.,"Greetings, With our conversion tracking app, teams in e-commerce are saving hours every week. Exclusive offer valid till end of this week! Would love to show how this could help your team.",0
Customer: operations manager at a E-commerce firm looking for solutions for a inventory sync system.,"Greetings, Our inventory sync system has helped several e-commerce companies optimize their workflow. Exclusive offer valid till end of this week! Can I send over a short demo video?",0
Customer: founder at a Manufacturing firm cold prospect for a supply chain tool.,"Greetings, With our supply chain tool, teams in manufacturing are saving hours every week. Don’t miss this opportunity to upgrade your business solutions. Can I send over a short demo video?",0
Customer: operations manager at a Finance firm looking for solutions for a investment dashboard.,"Hi there, We designed our investment dashboard specifically for finance businesses like yours. Thanks for your interest earlier! Our investment dashboard can streamline your operations easily. Can I send over a short demo video?",1
Customer: sales head at a Education firm looking for solutions for a student CRM.,"Hey [Name], Our student CRM has helped several education companies optimize their workflow. Don’t miss this opportunity to upgrade your business solutions. Would love to show how this could help your team.",0
Customer: admin manager at a Travel firm asked about pricing for a hotel CRM.,"Greetings, We designed our hotel CRM specifically for travel businesses like yours. Don’t miss this opportunity to upgrade your business solutions. Would you be open to a quick call this week?",0
Customer: procurement head at a Real Estate firm looking for solutions for a lead management software.,"Good morning, We designed our lead management software specifically for real estate businesses like yours. Following up from our last email — any feedback on the proposal? Would you be open to a quick call this week?",1
Customer: operations manager at a Real Estate firm was referred by a partner for a lead management software.,"Hello [Name], With our lead management software, teams in real estate are saving hours every week. Appreciate your earlier response — many real estate firms achieved 25% growth with our lead management software. Would you be open to a quick call this week?",2
Customer: operations manager at a Manufacturing firm cold prospect for a IoT sensors.,"Greetings, We designed our IoT sensors specifically for manufacturing businesses like yours. We are reaching out to introduce our services. Please respond for more info. Happy to share a case study if interested.",0
Customer: CTO at a Manufacturing firm cold prospect for a equipment monitoring system.,"Hi there, Our equipment monitoring system has helped several manufacturing companies optimize their workflow. We are reaching out to introduce our services. Please respond for more info. Would love to show how this could help your team.",0
Customer: CTO at a Finance firm asked about pricing for a payment gateway.,"Hi there, We designed our payment gateway specifically for finance businesses like yours. We are reaching out to introduce our services. Please respond for more info. Happy to share a case study if interested.",0
Customer: CTO at a Travel firm was referred by a partner for a booking automation platform.,"Good morning, I noticed your company operates in travel — our booking automation platform could be a great fit. We offer best-in-class pricing for your needs. Let's connect soon. Would you be open to a quick call this week?",0
Customer: operations manager at a IT Services firm attended a webinar for a CRM integration.,"Greetings, I noticed your company operates in it services — our CRM integration could be a great fit. Don’t miss this opportunity to upgrade your business solutions. Can I send over a short demo video?",0
Customer: CTO at a Healthcare firm was referred by a partner for a patient management system.,"Greetings, Our patient management system has helped several healthcare companies optimize their workflow. Following up from our last email — any feedback on the proposal? Would you be open to a quick call this week?",1
Customer: CFO at a Education firm existing customer for a student CRM.,"Greetings, We designed our student CRM specifically for education businesses like yours. Don’t miss this opportunity to upgrade your business solutions. Would love to show how this could help your team.",0
Customer: procurement head at a Real Estate firm looking for solutions for a CRM suite.,"Hello [Name], Our CRM suite has helped several real estate companies optimize their workflow. We offer best-in-class pricing for your needs. Let's connect soon. Happy to share a case study if interested.",0
Customer: procurement head at a Real Estate firm requested demo for a lead management software.,"Hi there, I noticed your company operates in real estate — our lead management software could be a great fit. We are reaching out to introduce our services. Please respond for more info. Can I send over a short demo video?",0
Customer: sales head at a Manufacturing firm was referred by a partner for a IoT sensors.,"Hello [Name], We designed our IoT sensors specifically for manufacturing businesses like yours. Don’t miss this opportunity to upgrade your business solutions. Can I send over a short demo video?",0
Customer: CFO at a Education firm existing customer for a learning management system.,"Hello [Name], I noticed your company operates in education — our learning management system could be a great fit. Exclusive offer valid till end of this week! Can I send over a short demo video?",0
Customer: admin manager at a Finance firm asked about pricing for a investment dashboard.,"Hey [Name], I noticed your company operates in finance — our investment dashboard could be a great fit. Glad you found the demo useful! Let's schedule onboarding for your team next week. Happy to share a case study if interested.",2
Customer: marketing director at a Manufacturing firm cold prospect for a supply chain tool.,"Greetings, Our supply chain tool has helped several manufacturing companies optimize their workflow. We are reaching out to introduce our services. Please respond for more info. Happy to share a case study if interested.",0
Customer: CFO at a Healthcare firm looking for solutions for a telehealth app.,"Greetings, We designed our telehealth app specifically for healthcare businesses like yours. We offer best-in-class pricing for your needs. Let's connect soon. Happy to share a case study if interested.",0
Customer: CFO at a Retail firm attended a webinar for a POS system.,"Hey [Name], Our POS system has helped several retail companies optimize their workflow. We are reaching out to introduce our services. Please respond for more info. Would love to show how this could help your team.",0
Customer: sales head at a Manufacturing firm looking for solutions for a equipment monitoring system.,"Greetings, With our equipment monitoring system, teams in manufacturing are saving hours every week. Don’t miss this opportunity to upgrade your business solutions. Would you be open to a quick call this week?",0
Customer: operations manager at a Healthcare firm attended a webinar for a telehealth app.,"Good morning, I noticed your company operates in healthcare — our telehealth app could be a great fit. We are reaching out to introduce our services. Please respond for more info. Would love to show how this could help your team.",0
Customer: founder at a Healthcare firm asked about pricing for a appointment scheduler.,"Hey [Name], We designed our appointment scheduler specifically for healthcare businesses like yours. Following up from our last email — any feedback on the proposal? Happy to share a case study if interested.",1
Customer: CTO at a Education firm requested demo for a assessment platform.,"Hey [Name], I noticed your company operates in education — our assessment platform could be a great fit. I’m following up regarding your query on assessment platform. We’d be happy to provide more details. Would love to show how this could help your team.",1
Customer: admin manager at a E-commerce firm existing customer for a conversion tracking app.,"Hi there, I noticed your company operates in e-commerce — our conversion tracking app could be a great fit. I’m following up regarding your query on conversion tracking app. We’d be happy to provide more details. Happy to share a case study if interested.",1
Customer: marketing director at a Finance firm existing customer for a payment gateway.,"Hello [Name], Our payment gateway has helped several finance companies optimize their workflow. I’m following up regarding your query on payment gateway. We’d be happy to provide more details. Would you be open to a quick call this week?",1
Customer: operations manager at a Manufacturing firm cold prospect for a equipment monitoring system.,"Good morning, We designed our equipment monitoring system specifically for manufacturing businesses like yours. Following up from our last email — any feedback on the proposal? Would love to show how this could help your team.",1
Customer: procurement head at a E-commerce firm existing customer for a conversion tracking app.,"Hey [Name], We designed our conversion tracking app specifically for e-commerce businesses like yours. We offer best-in-class pricing for your needs. Let's connect soon. Can I send over a short demo video?",0
Customer: marketing director at a Real Estate firm existing customer for a property analytics tool.,"Hey [Name], We designed our property analytics tool specifically for real estate businesses like yours. We offer best-in-class pricing for your needs. Let's connect soon. Would love to show how this could help your team.",0
Customer: admin manager at a Real Estate firm was referred by a partner for a CRM suite.,"Good morning, With our CRM suite, teams in real estate are saving hours every week. Exclusive offer valid till end of this week! Can I send over a short demo video?",0
Customer: marketing director at a E-commerce firm existing customer for a conversion tracking app.,"Good morning, With our conversion tracking app, teams in e-commerce are saving hours every week. We are reaching out to introduce our services. Please respond for more info. Can I send over a short demo video?",0
Customer: CTO at a Travel firm asked about pricing for a hotel CRM.,"Greetings, I noticed your company operates in travel — our hotel CRM could be a great fit. We are reaching out to introduce our services. Please respond for more info. Would you be open to a quick call this week?",0
Customer: founder at a IT Services firm attended a webinar for a AI chatbot.,"Hi there, With our AI chatbot, teams in it services are saving hours every week. Don’t miss this opportunity to upgrade your business solutions. Would love to show how this could help your team.",0
Customer: procurement head at a Healthcare firm asked about pricing for a telehealth app.,"Hey [Name], Our telehealth app has helped several healthcare companies optimize their workflow. Exclusive offer valid till end of this week! Would love to show how this could help your team.",0
Customer: CTO at a E-commerce firm existing customer for a email automation tool.,"Hey [Name], We designed our email automation tool specifically for e-commerce businesses like yours. Excited to start the partnership! Our support team will reach out to get you set up. Would love to show how this could help your team.",2
Customer: procurement head at a Manufacturing firm cold prospect for a equipment monitoring system.,"Hey [Name], We designed our equipment monitoring system specifically for manufacturing businesses like yours. We are reaching out to introduce our services. Please respond for more info. Would love to show how this could help your team.",0
Customer: sales head at a IT Services firm was referred by a partner for a cloud migration service.,"Hi there, With our cloud migration service, teams in it services are saving hours every week. We offer best-in-class pricing for your needs. Let's connect soon. Can I send over a short demo video?",0
Customer: sales head at a E-commerce firm requested demo for a email automation tool.,"Hey [Name], I noticed your company operates in e-commerce — our email automation tool could be a great fit. Don’t miss this opportunity to upgrade your business solutions. Happy to share a case study if interested.",0
Customer: sales head at a Education firm requested demo for a student CRM.,"Hey [Name], Our student CRM has helped several education companies optimize their workflow. Thanks for your interest earlier! Our student CRM can streamline your operations easily. Would you be open to a quick call this week?",1
Customer: procurement head at a Healthcare firm existing customer for a patient management system.,"Hello [Name], We designed our patient management system specifically for healthcare businesses like yours. Thanks for your interest earlier! Our patient management system can streamline your operations easily. Would you be open to a quick call this week?",1
Customer: operations manager at a IT Services firm was referred by a partner for a AI chatbot.,"Hey [Name], I noticed your company operates in it services — our AI chatbot could be a great fit. Don’t miss this opportunity to upgrade your business solutions. Happy to share a case study if interested.",0
Customer: operations manager at a IT Services firm existing customer for a cloud migration service.,"Greetings, Our cloud migration service has helped several it services companies optimize their workflow. I’m following up regarding your query on cloud migration service. We’d be happy to provide more details. Would you be open to a quick call this week?",1
Customer: sales head at a Travel firm cold prospect for a analytics dashboard.,"Hi there, We designed our analytics dashboard specifically for travel businesses like yours. I’m following up regarding your query on analytics dashboard. We’d be happy to provide more details. Would you be open to a quick call this week?",1
Customer: operations manager at a Travel firm existing customer for a analytics dashboard.,"Greetings, With our analytics dashboard, teams in travel are saving hours every week. Thanks for your interest earlier! Our analytics dashboard can streamline your operations easily. Happy to share a case study if interested.",1
Customer: procurement head at a Finance firm existing customer for a fraud detection API.,"Hey [Name], Our fraud detection API has helped several finance companies optimize their workflow. Following up from our last email — any feedback on the proposal? Would love to show how this could help your team.",1
Customer: admin manager at a Healthcare firm attended a webinar for a telehealth app.,"Hey [Name], We designed our telehealth app specifically for healthcare businesses like yours. Glad you found the demo useful! Let's schedule onboarding for your team next week. Happy to share a case study if interested.",2
Customer: CTO at a Real Estate firm requested demo for a property analytics tool.,"Hi there, I noticed your company operates in real estate — our property analytics tool could be a great fit. Don’t miss this opportunity to upgrade your business solutions. Would love to show how this could help your team.",0
Customer: sales head at a Manufacturing firm requested demo for a equipment monitoring system.,"Hey [Name], I noticed your company operates in manufacturing — our equipment monitoring system could be a great fit. We offer best-in-class pricing for your needs. Let's connect soon. Can I send over a short demo video?",0
Customer: CTO at a E-commerce firm requested demo for a email automation tool.,"Good morning, I noticed your company operates in e-commerce — our email automation tool could be a great fit. We are reaching out to introduce our services. Please respond for more info. Would you be open to a quick call this week?",0
Customer: sales head at a Real Estate firm cold prospect for a lead management software.,"Hey [Name], With our lead management software, teams in real estate are saving hours every week. Don’t miss this opportunity to upgrade your business solutions. Would love to show how this could help your team.",0
Customer: sales head at a Retail firm attended a webinar for a POS system.,"Greetings, I noticed your company operates in retail — our POS system could be a great fit. Don’t miss this opportunity to upgrade your business solutions. Would love to show how this could help your team.",0
Customer: CFO at a Real Estate firm requested demo for a CRM suite.,"Greetings, I noticed your company operates in real estate — our CRM suite could be a great fit. Exclusive offer valid till end of this week! Happy to share a case study if interested.",0
Customer: CFO at a Manufacturing firm looking for solutions for a supply chain tool.,"Hello [Name], We designed our supply chain tool specifically for manufacturing businesses like yours. I’m following up regarding your query on supply chain tool. We’d be happy to provide more details. Would love to show how this could help your team.",1
Customer: CTO at a Travel firm looking for solutions for a analytics dashboard.,"Greetings, We designed our analytics dashboard specifically for travel businesses like yours. Don’t miss this opportunity to upgrade your business solutions. Happy to share a case study if interested.",0
Customer: founder at a IT Services firm requested demo for a CRM integration.,"Hi there, I noticed your company operates in it services — our CRM integration could be a great fit. We offer best-in-class pricing for your needs. Let's connect soon. Can I send over a short demo video?",0
Customer: CTO at a E-commerce firm cold prospect for a email automation tool.,"Hey [Name], I noticed your company operates in e-commerce — our email automation tool could be a great fit. Excited to start the partnership! Our support team will reach out to get you set up. Can I send over a short demo video?",2
Customer: admin manager at a Retail firm looking for solutions for a inventory app.,"Hey [Name], With our inventory app, teams in retail are saving hours every week. Appreciate your earlier response — many retail firms achieved 25% growth with our inventory app. Would you be open to a quick call this week?",2
Customer: CTO at a Retail firm looking for solutions for a POS system.,"Hi there, With our POS system, teams in retail are saving hours every week. Don’t miss this opportunity to upgrade your business solutions. Can I send over a short demo video?",0
Customer: admin manager at a Real Estate firm requested demo for a property analytics tool.,"Greetings, Our property analytics tool has helped several real estate companies optimize their workflow. Exclusive offer valid till end of this week! Would you be open to a quick call this week?",0
Customer: operations manager at a Manufacturing firm asked about pricing for a IoT sensors.,"Hello [Name], Our IoT sensors has helped several manufacturing companies optimize their workflow. Don’t miss this opportunity to upgrade your business solutions. Can I send over a short demo video?",0
Customer: admin manager at a Retail firm requested demo for a inventory app.,"Hello [Name], I noticed your company operates in retail — our inventory app could be a great fit. We offer best-in-class pricing for your needs. Let's connect soon. Happy to share a case study if interested.",0
Customer: CTO at a E-commerce firm existing customer for a email automation tool.,"Hey [Name], Our email automation tool has helped several e-commerce companies optimize their workflow. I’m following up regarding your query on email automation tool. We’d be happy to provide more details. Can I send over a short demo video?",1
Customer: operations manager at a IT Services firm looking for solutions for a CRM integration.,"Greetings, I noticed your company operates in it services — our CRM integration could be a great fit. I’m following up regarding your query on CRM integration. We’d be happy to provide more details. Would love to show how this could help your team.",1
Customer: sales head at a Finance firm requested demo for a investment dashboard.,"Hey [Name], Our investment dashboard has helped several finance companies optimize their workflow. Following up from our last email — any feedback on the proposal? Would you be open to a quick call this week?",1
Customer: CTO at a Education firm looking for solutions for a assessment platform.,"Hello [Name], Our assessment platform has helped several education companies optimize their workflow. We offer best-in-class pricing for your needs. Let's connect soon. Happy to share a case study if interested.",0
Customer: admin manager at a Retail firm requested demo for a POS system.,"Good morning, With our POS system, teams in retail are saving hours every week. Don’t miss this opportunity to upgrade your business solutions. Would love to show how this could help your team.",0
Customer: CFO at a Finance firm requested demo for a investment dashboard.,"Hello [Name], I noticed your company operates in finance — our investment dashboard could be a great fit. We offer best-in-class pricing for your needs. Let's connect soon. Would love to show how this could help your team.",0
Customer: sales head at a E-commerce firm existing customer for a conversion tracking app.,"Hey [Name], Our conversion tracking app has helped several e-commerce companies optimize their workflow. Thanks for your interest earlier! Our conversion tracking app can streamline your operations easily. Happy to share a case study if interested.",1
Customer: sales head at a Travel firm existing customer for a hotel CRM.,"Good morning, With our hotel CRM, teams in travel are saving hours every week. We offer best-in-class pricing for your needs. Let's connect soon. Would love to show how this could help your team.",0
Customer: admin manager at a Retail firm attended a webinar for a POS system.,"Hi there, We designed our POS system specifically for retail businesses like yours. Exclusive offer valid till end of this week! Happy to share a case study if interested.",0
Customer: admin manager at a Real Estate firm attended a webinar for a lead management software.,"Hi there, Our lead management software has helped several real estate companies optimize their workflow. Excited to start the partnership! Our support team will reach out to get you set up. Can I send over a short demo video?",2
Customer: sales head at a IT Services firm looking for solutions for a CRM integration.,"Hi there, With our CRM integration, teams in it services are saving hours every week. Don’t miss this opportunity to upgrade your business solutions. Would you be open to a quick call this week?",0
Customer: CTO at a IT Services firm was referred by a partner for a CRM integration.,"Hey [Name], With our CRM integration, teams in it services are saving hours every week. Delighted to know you’re proceeding with our CRM integration. We'll ensure a smooth rollout. Would love to show how this could help your team.",2
Customer: sales head at a Manufacturing firm asked about pricing for a equipment monitoring system.,"Hi there, I noticed your company operates in manufacturing — our equipment monitoring system could be a great fit. Don’t miss this opportunity to upgrade your business solutions. Would love to show how this could help your team.",0
Customer: procurement head at a Healthcare firm requested demo for a telehealth app.,"Good morning, With our telehealth app, teams in healthcare are saving hours every week. We are reaching out to introduce our services. Please respond for more info. Can I send over a short demo video?",0
